Word,Count
",",687
.,551
‍,315
️,309
♀,301
🤦,298
#,160
đi,84
trường,63
xe,60
ksc,57
học sinh,51
học,49
”,49
“,48
nam,42
?,41
tỉnh,40
_,39
việt,39
1,37
2,36
...,34
lớp,32
y tế,31
đường,30
covid19,28
cách ly,27
!,27
kiểm tra,26
bạc liêu,25
3,25
thuyền,24
/,24
dân,23
dịch,23
hàng,22
trần,22
giao thông,19
cre,19
tao,18
bệnh viện,18
khu vực,18
hậu,18
xe máy,18
nội,18
thằng,17
thành phố,17
ban,17
hà,17
hwanglong,16
welax,16
bảo hiểm,16
giang,16
t,16
biển,16
vui,15
🤣,15
thải,15
chỉ đạo,15
tp,15
thầy,14
đh,14
phòng,14
ngành,14
',14
huyện,14
quân,13
ubnd,13
chiu,12
welax_anh,12
khí,12
phượng,12
ngã,12
trách nhiệm,12
sơn,12
vị thanh,12
bến xe,12
chống,12
tp.hcm,12
tiểu học,12
đọc,12
mưa,12
kiếm,11
tăng cường,11
thông báo,11
thông tin,11
đứng,11
chạy,11
mấy,11
lực lượng,11
ảnh,11
hà nội,11
tốt nghiệp,11
phụ huynh,11
q,11
quên,11
kiểm soát,11
quản lý,11
tuyến,11
luật,10
phương,10
công ty,10
công tác,10
phát hiện,10
xe khách,10
công an,10
tiếp xúc,10
khu,10
câu,10
hai,10
gốc,10
triệu,10
n,10
dự án,10
đồng,10
chủ,10
đồi,9
phố,9
tiền,9
thi,9
vi phạm,9
h,9
phát,9
giúp,9
tiến hành,9
bệnh nhân,9
khánh,9
🤧,9
chức năng,9
trời,9
chuyến,9
xã,9
hệ thống,9
đầu,9
ý thức,9
địa phương,9
cấp cứu,8
sinh viên,8
điện thoại,8
10,8
phường,8
mua,8
đa khoa,8
ban đầu,8
thanh niên,8
giá,8
mệt,8
gia đình,8
đêm,8
quy định,8
chiều,8
thầy cô,8
chất lượng,8
nghỉ,8
dạy,8
đầu tư,8
❤,7
|,7
góc,7
quốc gia,7
nhà trường,7
đường bộ,7
bị thương,7
cục,7
d,7
l,7
du lịch,7
quốc tế,7
hoàn,7
người ta,7
phương tiện,7
tổ chức,7
camera,7
bác sĩ,7
trường hợp,7
phối hợp,7
nhập cảnh,7
hiệu trưởng,7
hội,7
chỗ,7
hướng,7
thắng,7
đừng,7
hoạt động,7
6,7
hạ,7
lịch,7
sông,7
môn,7
12,7
văn,7
giáo dục,7
sở,7
viết,7
p,7
doanh nghiệp,7
hoa giấy,7
4,7
trắng,7
trà,7
tiếng,7
g,6
săn,6
mây,6
trà my,6
sáng kiến,6
trẻ,6
sân,6
—,6
bật,6
tham gia,6
cơ giới,6
kiên,6
mùa,6
nước ngoài,6
xe đạp,6
tụi,6
phát triển,6
đen,6
giám sát,6
sai,6
thường xuyên,6
tuyên truyền,6
địa bàn,6
hành khách,6
cửa khẩu,6
tài xế,6
khẩn trương,6
di chuyển,6
toàn,6
giám đốc,6
đề nghị,6
cộng đồng,6
rong,6
phó,6
nhiễm,6
xác minh,6
điều trị,6
gửi,6
thiết kế,6
5,6
bờ,6
ngư dân,6
giải quyết,6
đá,6
hòa bình,6
cô giáo,6
chủ nhiệm,6
giáo viên,6
chữ,6
đẹp,6
biến,6
xảy,6
đoạn,6
chủ tịch,6
yêu,6
sa bàn,5
rác,5
kenh14,5
đà,5
ngủ,5
nghèo,5
liền,5
tiếc,5
đổ,5
song,5
v,5
m,5
bắt buộc,5
anh em,5
phòng chống,5
chó,5
xe điện,5
nắm,5
thanh xuân,5
bách khoa,5
hưng,5
đón,5
đứa,5
chính phủ,5
cơ quan,5
nhiễm bệnh,5
cần thơ,5
campuchia,5
dậy,5
lắm,5
bắt,5
hiện,5
trung tâm,5
xét nghiệm,5
ngụ,5
sinh,5
hoàng hoa,5
phút,5
xã hội,5
chụp,5
cổng,5
tiếp cận,5
dừng,5
cơm,5
an toàn,5
nghi,5
24,5
lê,5
xuân liên,5
nạn,5
via,5
hồ,5
cờ,5
cống,5
trùm,5
xong,5
thời,5
chậm,5
chương trình,5
thành,5
suốt,5
kết quả,5
trồng,5
giao,5
19,5
tr,5
ộm,5
quốc lộ,5
16/5,5
thương,5
đấy,5
nghiệp,4
ko,4
haiz,4
chết,4
iật,4
tạ,4
đuổi,4
tượng,4
công viên,4
tư,4
đảo,4
địa điểm,4
ngập,4
độ,4
giải,4
nàng,4
quỹ,4
lựa chọn,4
nẵng,4
châu áthái,4
bình dương,4
sản phẩm,4
đôi,4
vũ,4
đam mê,4
áp dụng,4
không khí,4
định kỳ,4
lộ trình,4
hiện trường,4
cổ thụ,4
lạng,4
hàng loạt,4
dự thảo,4
tài chính,4
bồi thường,4
dân sự,4
tình hình,4
trả lời,4
thế giới,4
đinh,4
triệt để,4
thống nhất,4
kia,4
thuận lợi,4
s,4
bài học,4
cuộc sống,4
nam sinh,4
coi,4
xuất sắc,4
đợt,4
đại học,4
đại dịch,4
bảo vệ,4
kế hoạch,4
kỳ,4
hành vi,4
trao đổi,4
quán,4
nguy cơ,4
bình minh,4
tháp,4
hòa hiệp,4
dịch tễ,4
đề xuất,4
ngọc,4
mẫu,4
biện pháp,4
theo dõi,4
lập,4
khoa,4
xem xét,4
thiết,4
đ,4
mặc dù,4
công việc,4
vụ việc,4
con gái,4
xin lỗi,4
làm việc,4
mạng,4
ly,4
facebook,4
phản ánh,4
1a1,4
quang trung,4
cháu,4
giành,4
chục,4
nhanh chóng,4
phép,4
cố gắng,4
thành công,4
báo,4
15,4
kinh nghiệm,4
máy,4
40,4
chìm,4
mực,4
rà,4
tự hào,4
tối,4
xây dựng,4
công nghệ,4
a,4
nhận định,4
môi trường,4
tô,4
nước thải,4
gọi,4
mô hình,4
50,4
dễ dàng,4
đông,4
nguyễn,4
quê,4
trở lại,4
ôn tập,4
mục tiêu,4
giảng,4
30,4
tác động,4
dịch bệnh,4
yếu,4
vị,4
to,4
thuê,4
liên tục,4
plo,4
đem,4
updating,4
tập,4
thịnh,4
tinder,3
*,3
người yêu,3
nè,3
chửi,3
đc,3
hiệp,3
hình,3
hong,3
cũ,3
ngu,3
tình,3
ga,3
nổi,3
sống,3
buông,3
tung,3
bản đồ,3
hè,3
y khoa,3
yumonang,3
đạ,3
sar,3
đỉnh,3
bớt,3
bảng,3
tranh thủ,3
cao đẳng,3
piano,3
bắn,3
pháp ngữ,3
lây nhiễm,3
robot,3
khí quản,3
group,3
nhân viên,3
chờ,3
mắt,3
chặt,3
vnexpress,3
kiểm định,3
đăng kiểm,3
số lượng,3
%,3
đất,3
thcs,3
bạch đằng,3
bắc giang,3
vật nuôi,3
môtô,3
xe gắn máy,3
sửa đổi,3
hoàn thiện,3
bộ trưởng,3
tiến dũng,3
hành chính,3
đỡ,3
ghi nhận,3
bệnh,3
khám,3
hcm,3
hôm,3
14,3
hạn chế,3
nhật,3
nhk,3
quyết liệt,3
thủ tướng,3
đàn ông,3
tuổi trẻ,3
đi lại,3
lương,3
đô thị,3
quanh,3
đối tượng,3
đời,3
giỏi,3
vốn,3
môn học,3
vai trò,3
đánh,3
đề,3
chúng em,3
winner,3
mong muốn,3
cụ,3
zing,3
cạnh,3
sự cố,3
đoàn,3
tai nạn,3
xử phạt,3
khanh,3
22/5,3
sức khỏe,3
xác định,3
phong tỏa,3
225,3
minh phát,3
tiền giang,3
vĩnh long,3
triển khai,3
phức tạp,3
lây lan,3
hướng dẫn,3
hình ảnh,3
truy tìm,3
điều tra,3
bích,3
dương tính,3
virus,3
dân cư,3
gái,3
đăng,3
gặp gỡ,3
rút,3
quyền,3
thị,3
phê bình,3
nằm,3
buồn,3
cảnh,3
nóng,3
lạnh,3
gió,3
đóng,3
niềm,3
tầm,3
trở,3
trúng,3
vụ,3
dắt,3
thành viên,3
giúp đỡ,3
nghề,3
khơi,3
cứu,3
sóng,3
–,3
7,3
trục vớt,3
cá,3
cv,3
thôn,3
chàng,3
trai,3
lễ,3
thượng,3
lăng,3
hộ,3
xanh,3
đức,3
thoát,3
pgs.ts,3
nhà máy,3
xả,3
dòng,3
đèo,3
cầu,3
va chạm,3
mai,3
tuổi thơ,3
cầm,3
điện,3
bốn,3
bình,3
ôn,3
kiến thức,3
mẹ,3
nỗi,3
học tập,3
đánh vần,3
45,3
thông,3
thạo,3
phép tính,3
hành động,3
thu,3
phạm,3
hôm nay,3
thời tiết,3
nắng,3
tỉ,3
bay,3
màu,3
tuần,3
thống kê,3
cơ quan chức năng,3
tổng,3
báo cáo,3
bình định,3
tây,3
đỏ,3
khẩu,2
chịch,2
gạ,2
đàn bà,2
lòng dạ,2
mị,2
🧏,2
năn,2
đén,2
’,2
[,2
],2
huhu,2
trâu,2
chất,2
suy nghĩ,2
vnnhững,2
cực,2
trao,2
kiểu,2
đồ,2
pha,2
\,2
tết,2
zậy,2
hông,2
mì,2
tag,2
like,2
mn,2
bây,2
bảo,2
vl,2
~,2
ง,2
húp,2
đm,2
30/5/2020,2
grab,2
chì,2
khuất,2
gym,2
30kg,2
vác,2
ém,2
ch,2
ết,2
cước,2
nửa,2
taxi,2
linh,2
áo,2
vinfast,2
impes,2
ngỡ ngàng,2
sương,2
tú,2
bao,2
lịch sử,2
ý tưởng,2
vòng,2
dân tộc,2
tiếp thu,2
thực hành,2
120,2
quần đảo,2
điển,2
c,2
mối mọt,2
khuôn viên,2
đa,2
hot,2
